aragoné aragonés
associ associated
asturianu asturianu
bahasa bahasa
bnf bnf
bokmål bokmål
català català
cc cc
common commons
cours course
creativ creative
cymraeg cymraeg
dansk dansk
de de
deutsch deutsch
eesti eesti
english english
español español
esperanto esperanto
euskara euskara
fibt fibt
fil fil
foundat foundation
françai français
fédération fédération
galego galego
hrvatski hrvatski
htm htm
http http
https https
inc inc
index index
indonesia indonesia
interlingua interlingua
international internationale
italiano italiano
latviešu latviešu
lietuvių lietuvių
luge luge
machin machine
magyar magyar
msport msports
nederland nederlands
norsk norsk
occitan occitan
oldid oldid
org org
oʻzbekcha oʻzbekcha
page pages
pdf pdf
php php
polski polski
portuguê português
qr qr
rennrodeln rennrodeln
română română
ru ru
sa sa
schlittensportverband schlittensportverband
simpl simple
srpski srpski
suomi suomi
svenska svenska
tagalog tagalog
tatarça tatarça
titl title
tiếng tiếng
türkçe türkçe
url url
việt việt
wayback wayback
wikimedia wikimedia
wikipedia wikipedia
www www
čeština čeština
ελληνικά ελληνικά
австралийский австралийский
австрия австрия
авторство авторства
айсшток айсшток
академический академическая
алфавит алфавиту
альпийский альпийских
альпинизм альпинизм
альтенберг альтенберг
американский американский
англ англ
архивный архивная
атлетика атлетика
бавария бавария
бадминтон бадминтон
байдарка байдарках
баскетбол баскетбол
баскский баскская
батут батуте
башҡортса башҡортса
бейсбол бейсбол
беларуская беларуская
берт берт
биатлон биатлон
библиографический библиографических
бобслей бобслей бобслея
бокс бокс
больший большая
большинство большинство
борьба борьба
брейкинг брейкинг
будо будо
български български
быстрый быстрая
важный важнейших важным
велоспорт велоспорт
версия версия
вес вес
вестфалия вестфалия
ветер ветра
вид вид видах виды
викиданных викиданных
викимедиа викимедиа
викиновости викиновости
википедии википедии
википедия википедия
викисклад викисклад
викискладе викискладе
винтерберг винтерберг
вклад вклад
включать включая
включить включен включена включён
вместе вместе
внешний внешние
вод воду
водный водно водное водные
воздух воздуха
войти войти
волейбол волейбол
временить времени
время время
гандбол гандбол
германий германии германия
гимнастика гимнастика
глима глима
год года году
гольф гольф
гонка гонки
горнолыжный горнолыжный
гребля гребля
гэльский гэльский
датский датская
двоеборье двоеборье
де де
действовать действовать
день дней
дзюдо дзюдо
диапазон диапазоне
дисквалифицируется дисквалифицируется
дистанция дистанция
длинный длинная
должен должен должна
дополнительный дополнительные
достаточно достаточно
доступный доступен
дрезден дрездене
единственный единственной
естественный естественная
женщина женщины
зависеть зависящем
заглавный заглавная
заезд заездов
замена замене
запись запись
зарегистрировать зарегистрированный
заявление заявление
зимний зимние зимний зимним зимних
знак знак
игра игр играм играх
избранный избранные
измерение измерение
инсбрук инсбрук
инструмент инструменты
исатиш исатиш
исключить исключённые
искусственно искусственно
искусственный искусственных
использование использования
использоваться используется
история история
источник источник
йозеф йозеф
калгари калгари
канат каната
каноэ каноэ
карат карате
каталанский каталанская
каталог каталогах
катание катание
категория категории
квадах квадах
керлинг кёрлинг
код код
кодекс кодекс
команда команда
комбинезон комбинезоны
конный конный
конфиденциальность конфиденциальности
конькобежный конькобежный
копия копия
короткий короткий
корфбол корфбол
костюм костюмы
который котором которые который которых
красноярск красноярск
крикет крикет
крокет крокет
крупный крупных
кубок кубок
кук куки
кёнигсзе кёнигсзе
ла ла
легкий лёгкая
лед лёд
лейк лейк
летний летние
лиллехаммер лиллехаммер
литовский литовская
лицензия лицензии
лука лука
лыжа лыжах лыжи
лыжный лыжное лыжные
лякросс лякросс
македонский македонски
маленький наименьшее
маскигон маскигон
материал материал
медиафайлы медиафайлы
международный международная международной
метр метров
мир мира мире
мобильный мобильная
мориц мориц
моторный моторный
мочь могут
мужчина мужчины
мяч мячом
навигация навигации навигация
нагано нагано
название название
настольный настольный
натурбан натурбан
натурбана натурбана
натурбанные натурбанные
находиться находиться находятся
начальный начального
начинать начиная
начинаться начинается
негони негони
недоступный недоступная
некоммерческий некоммерческой
некоторые некоторых
немец немцы
немецкий немецкого
немой нем
нерабочий нерабочими
нный нный
новый новые
норвегия норвегия
норвежский норвежская
оберхоф оберхоф
оборудование оборудование
обсуждение обсуждение
обувь обувь
общий общее
обязать обязан
ограничение ограничения
одиночка одиночек
однако однако
ои ои
оказаться оказаться
олимпийский олимпийские олимпийский олимпийским олимпийских
описание описание
определить определенного определенном
определять определяют
определяться определяется
организация организации организация
организовать организованное
освободиться освободилась
осло осло
основать основана
остановиться остановиться
ответственность ответственности
отдельный отдельных
отказ отказ
отредактировать отредактирована
отрезка отрезка
официальный официальный
охлаждать охлаждают
ошибка ошибке
палец пальцах
пар пар парах пары
парамоново парамоново
парусный парусный
пелота пелота
первое первое
первый первый
перейти перейти
перетягивание перетягивание
персональный персональные
перчатка перчатки
печать печати печать
плавание плавание
план план
планерный планёрный
плохой плохого
плэсид плэсид
победитель победитель
побеждать побеждает
поведение поведения
подробный подробнее
пожертвовать пожертвовать
позволять позволяют
поиск поиск поиску
показательный показательные
политик политика
поло поло
полоз полозьев
получить получить
пом пом
помогать помогают
попытка попытки
порядок порядок
последний последний
постоянный постоянная
построить построена построено
править правила править
правка правки
предварительный предварительные
представитель представителей
представиться представились
президент президентами
примечание примечания
принятие принятия
провести проведён
проводиться проводятся
программа программе программу
продолжить продолжить
проект проектах
произойти произошло
просмотр просмотры
простой просты
противный противном
проходить проходят
прохождение прохождением прохождения
прошедший прошедший
прыжок прыжки
пятиборье пятиборье
разгоняться разгоняться
разновидность разновидность
разработчик разработчики
разрешаться разрешается
располагаться располагается
регби регби
регламентировать регламентированы
результат результатам результатов
рейна рейн
ресурс ресурсы
решение решения
рок роке
российский российская
россия россии
русский русский
рэкетс рэкетс
са са
сайт сайт
саксония саксония
самый самая
сани саней сани санями санях
санки санки
санкт санкт
санный санного санном санному санный санным санных
саночник саночник саночника
саночный саночные
сантиметр см
сараево сараево
сведение сведения
свежий свежие
свободный свободной
связанный связанные связанных
связаться свяжитесь
северный северный
серфинг сёрфинг
сесть сесть
сигулда сигулда
синхронный синхронное
система системе
сити сити
скалолазание скалолазание
скачать скачать
сквош сквош
скейтбординг скейтбординг
скелетон скелетон скелетона
ски ски
скиджоринг скиджоринг
скиинг скиинг
складываться складывается
скоростной скоростном скоростным
скрытый скрытые
словарь словари
служебный служебные
случай случае случаях
случайный случайная
снова снова
сноуборд сноуборд
собачий собачьих
собрание собрание
событие события
современный современное
содержание содержание
создать создать
солт солт
сообщество сообщество
сообщить сообщить
сопротивление сопротивление
соревнование соревнований соревнования
соревноваться соревноваться соревнуются
состав состав
состояние состояния
состоять состоит
софтбол софтбол
сохранение сохранением
сочить сочи
специальный специальные специальным
спид спид
спорт спорт спорта спорте спортом спорту
спортивный спортивная спортивное
спортсмен спортсмен спортсмена спортсменам спортсменов
справка справка
спринт спринт спринте
спуск спуск спуске
среди среди
српски српски
ссылка ссылка ссылками ссылки
старт старт старта старте
стартовать стартовать
старый старая
статистика статистика
статья статьи статья
страна странах
страница страница странице страницу страницы
стрельба стрельба
существовать существуют
сюда сюда
также также
тарашкевіца тарашкевіца
татарча татарча
текст текст
текущий текущие
температура температура температуры
теннис теннис
течение течение
тип типах
тобогган тобогган тобоггана
товарный товарный
тоҷикӣ тоҷикӣ
трава траве
трамплин трамплина
трасса трасс трасса трассам трассах трассе трассу трассы
трек трек
триатлон триатлон
турин турин
турнир турнирах
тхэквондо тхэквондо
тюрингия тюрингия
тяжелый тяжёлая
уистлер уистлер
указание указанием
укоротить укороченной
українська українська
уменьшить уменьшить
универсальный универсальная
управлять управляла
управляться управляется
упряжка упряжках
условие условий условия
устройство устройство
ухудшение ухудшения
участие участие
участник участник участники
учетный учётную
ушу ушу
февраль февраля
федерация федерацией федерации федерация
фендт фендт
фехтование фехтование
фигурный фигурное
финишировать финишировать
финский финский
флаг флаг
фонд фонд
форум форум
французский французский
фризский фризский
фристайл фристайл
футбол футбол
хоккей хоккей
художественный художественная
хёрлинг хёрлинг
цитировать цитировать
чемпионат чемпионат чемпионата
число числе
читать читать
шайба шайбой
швейцария швейцарии
шип шипами
шлем шлемы
шорты шорт
экипировка экипировку
экспорт экспорт
элемент элемент
энциклопедия энциклопедии
эстафета эстафеты
являться является
язык языках
ўзбекча ўзбекча
қазақша қазақша
հայերեն հայերեն
עברית עברית
العربية العربية
فارسی فارسی
தம தம
中文 中文
吴语 吴语
日本語 日本語
粵語 粵語
한국어 한국어
